IP PLC,Dept,Line,Cam IP,Cam Name
26.147.85.82,PC,1,26.147.85.42,CAM01
26.147.85.82,PC,2,26.147.85.41,CAM02
26.147.85.84,PC,3,26.147.85.44,CAM01
26.147.85.84,PC,4,26.147.85.43,CAM02
26.147.85.86,PC,5,26.147.85.46,CAM01
26.147.85.86,PC,6,26.147.85.45,CAM02
26.147.85.88,PC,7,26.147.85.48,CAM01
26.147.85.88,PC,8,26.147.85.47,CAM02
26.147.85.90,PC,9,26.147.85.50,CAM01
26.147.85.90,PC,10,26.147.85.49,CAM02
26.147.85.92,PC,11,26.147.85.52,CAM01
26.147.85.92,PC,12,26.147.85.51,CAM02
26.147.85.94,PC,13,26.147.85.54,CAM01
26.147.85.94,PC,14,26.147.85.53,CAM02
26.147.85.96,PC,15,26.147.85.56,CAM01
26.147.85.96,PC,16,26.147.85.55,CAM02
26.147.85.98,PC,17,26.147.85.58,CAM01
26.147.85.98,PC,18,26.147.85.57,CAM02
26.147.94.81,TC1,19,26.147.94.41,CAM01
26.147.94.81,TC1,20,26.147.94.42,CAM02
26.147.85.80,PC,19A,26.147.85.40,CAM01
26.147.85.80,PC,20A,26.147.85.59,CAM02
26.147.94.83,TC1,21,26.147.94.43,CAM01
26.147.94.83,TC1,22,26.147.94.44,CAM02
26.147.94.86,TC2,23,26.147.94.45,CAM02
26.147.94.86,TC2,24,26.147.94.46,CAM01
26.147.94.87,TC2,25,26.147.94.47,CAM01
26.147.94.87,TC2,26,26.147.94.48,CAM02
26.147.94.90,TC2,27,26.147.94.49,CAM01
26.147.94.90,TC2,28,26.147.94.50,CAM02
26.147.94.92,TC2,29,26.147.94.51,CAM01
26.147.94.92,TC2,30,26.147.94.52,CAM02
26.147.100.81,FCC,31,26.147.100.41,CAM01
26.147.100.81,FCC,32,26.147.100.42,CAM02
26.147.100.83,FCC,33,26.147.100.43,CAM01
26.147.100.83,FCC,34,26.147.100.44,CAM02
26.147.100.86,FCC,35,26.147.100.45,CAM02
26.147.100.86,FCC,36,26.147.100.46,CAM01
26.147.100.87,FCC,37,26.147.100.47,CAM01
26.147.96.81,FCP,40,26.147.96.40,CAM02
26.147.96.81,FCP,41,26.147.96.41,CAM01
26.147.96.83,FCP,42,26.147.96.42,CAM02
26.147.96.83,FCP,43,26.147.96.43,CAM01
